LAD19CD,TacticalCell,total_requests_last_week,total_requests_previous_week
E06000001,North,NA,NA
E06000002,North,NA,NA
E06000003,North,NA,NA
E06000004,North,NA,NA
E06000005,North,NA,NA
E06000006,North,NA,NA
E06000007,North,NA,NA
E06000008,North,NA,NA
E06000009,North,NA,NA
E06000010,North,NA,NA
E06000011,North,NA,NA
E06000012,Midlands and East,NA,NA
E06000013,Midlands and East,NA,NA
E06000014,North,NA,NA
E06000015,Midlands and East,NA,NA
E06000016,Midlands and East,NA,NA
E06000018,Midlands and East,NA,NA
E06000017,Midlands and East,NA,NA
E06000019,Midlands and East,NA,NA
E06000020,Midlands and East,NA,NA
E06000021,Midlands and East,NA,NA
E06000022,South and the Channel Islands,NA,NA
E06000023,South and the Channel Islands,NA,NA
E06000024,South and the Channel Islands,NA,NA
E06000025,South and the Channel Islands,NA,NA
E06000026,South and the Channel Islands,NA,NA
E06000027,South and the Channel Islands,NA,NA
E06000058,South and the Channel Islands,NA,NA
E06000030,South and the Channel Islands,NA,NA
E06000031,Midlands and East,NA,NA
E06000032,South East,NA,NA
E06000033,South East,NA,NA
E06000034,South East,NA,NA
E06000035,South East,NA,NA
E06000036,South and the Channel Islands,NA,NA
E06000037,South and the Channel Islands,NA,NA
E06000038,South and the Channel Islands,NA,NA
E06000039,South and the Channel Islands,NA,NA
E06000040,South and the Channel Islands,NA,NA
E06000041,South and the Channel Islands,NA,NA
E06000042,South and the Channel Islands,NA,NA
E06000043,South East,NA,NA
E06000044,South East,NA,NA
E06000045,South East,NA,NA
E06000046,South East,NA,NA
E06000047,North,NA,NA
E06000049,North,NA,NA
E06000050,North,NA,NA
E06000051,Midlands and East,NA,NA
E06000052,South and the Channel Islands,NA,NA
E06000053,South and the Channel Islands,NA,NA
E06000054,South and the Channel Islands,NA,NA
E06000055,South East,NA,NA
E06000056,South East,NA,NA
E06000057,North,NA,NA
E07000004,South and the Channel Islands,NA,NA
E07000005,South and the Channel Islands,NA,NA
E07000006,South and the Channel Islands,NA,NA
E07000007,South and the Channel Islands,NA,NA
E07000008,Midlands and East,NA,NA
E07000009,Midlands and East,NA,NA
E07000010,Midlands and East,NA,NA
E07000011,Midlands and East,NA,NA
E07000012,Midlands and East,NA,NA
E07000026,North,NA,NA
E07000027,North,NA,NA
E07000028,North,NA,NA
E07000029,North,NA,NA
E07000030,North,NA,NA
E07000031,North,NA,NA
E07000032,Midlands and East,NA,NA
E07000033,Midlands and East,NA,NA
E07000034,Midlands and East,NA,NA
E07000035,Midlands and East,NA,NA
E07000036,Midlands and East,NA,NA
E07000037,Midlands and East,NA,NA
E07000038,Midlands and East,NA,NA
E07000039,Midlands and East,NA,NA
E07000040,South and the Channel Islands,NA,NA
E07000041,South and the Channel Islands,NA,NA
E07000042,South and the Channel Islands,NA,NA
E07000043,South and the Channel Islands,NA,NA
E07000044,South and the Channel Islands,NA,NA
E07000045,South and the Channel Islands,NA,NA
E07000046,South and the Channel Islands,NA,NA
E07000047,South and the Channel Islands,NA,NA
E06000059,South and the Channel Islands,NA,NA
E07000061,South East,NA,NA
E07000062,South East,NA,NA
E07000063,South East,NA,NA
E07000064,South East,NA,NA
E07000065,South East,NA,NA
E07000066,South East,NA,NA
E07000067,South East,NA,NA
E07000069,South East,NA,NA
E07000068,South East,NA,NA
E07000070,South East,NA,NA
E07000071,South East,NA,NA
E07000072,South East,NA,NA
E07000073,South East,NA,NA
E07000074,South East,NA,NA
E07000075,South East,NA,NA
E07000076,South East,NA,NA
E07000077,South East,NA,NA
E07000078,South and the Channel Islands,NA,NA
E07000079,South and the Channel Islands,NA,NA
E07000080,South and the Channel Islands,NA,NA
